year,industry_code,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1992,1,59,445,2213.33,12973.06,5378.11448275862,319387.14999999997,46053.75
1992,2,101,4362,22654.42,38522.46,9663.8995,872810.38,66331.29
1992,3,345,10032,27856.97,40391.24,3777.865226586103,1065954.5,91145.46
1992,4,30,1519,3111.31,31712.41,15123.174333333334,425466.94,51194.34
1992,5,110,5841,16025.68,17028.2,4439.275272727273,498133.96,50150.52
1992,6,281,11237,38016.99,34129.36,2304.560037878788,536160.32,66538.57
1992,7,15,1150,6892.08,36087.53,24953.688666666665,229196.22,63431.08
1992,8,6,21,0,7980.93,21248.321666666667,32993.13,12748.43
1992,9,24,1265,307.67,2678.05,8179.5590909090915,336677.3,5881.36
1992,10,226,3742,23203.61,16205.21,1325.2417535545023,244519.41,47994.97
1992,11,13,21,32.160000000000004,848.6,3927.0323076923078,9137.849999999999,2823.27
1992,12,55,2159,9048.52,9742.460000000001,6943.117037037037,201023.12,30183.87
1992,NA,1,1,0,0,640.77,450.65,47.58
1993,1,57,493,2166.09,12845.97,4930.921228070176,321291.57,45227.23
1993,2,112,4283,23992.12,43566.55,9778.984727272727,942750.66,74822.95
1993,3,335,10397,28589.74,33270.77,3978.0984615384614,1074734.69,86560.96
1993,4,36,1467,3996.84,35092.89,14999.174571428572,491463.43,59612.43
1993,5,112,6068,16009.48,17324.04,4427.535535714286,491668.27999999997,49428.11
1993,6,303,12750,40788.49,34829.56,2402.35014084507,600289.55,72617.73
1993,7,15,1051,4258.11,42048.22,25130.381333333335,191086.19,63182.63
1993,8,10,26,0,12187.84,21187.584,59057.65,21500.8
1993,9,28,1325,470.14,4214.54,10809.808461538461,442268.03,5576.89
1993,10,243,4029,24057.69,15600.67,1305.5164782608695,246112.2,49126.9
1993,11,18,41,45.89,438.04,27375.014705882353,60373.26,20845.79
1993,12,67,2182,7912.09,14645.66,8178.948524590164,257946.67,37958.81
1993,NA,1,3,0,0,741.26,511.19,59.91
1994,1,55,485,2540.47,12100.48,5208.731111111111,343930.54,46582.11
1994,2,110,4371,26829,56952.05,11126.440727272728,1064331.89,105596.83
1994,3,384,10454,31770.989999999998,42886.66,3945.878167115903,1235776.83,116265.1
1994,4,42,1499,4306.01,37183.03,13771.043170731708,500669.1,63950.76
1994,5,117,5707,17544.17,22577.93,4912.90947826087,556459.65,62914.78
1994,6,365,14707,44999.95,44511.51,2195.4865352112674,705917.48,95658.14
1994,7,22,1195,7958.54,61217.3,27568.989999999998,355954.98,110346.72
1994,8,12,63,0,7822.39,36455.21833333333,146014.24,34993.58
1994,9,26,1460,467.06,3448.68,8971.3596,438451.81,7004.56
1994,10,254,3960,27006,16646.46,1518.0206995884773,282479.02999999997,58106.53
1994,11,15,55,46.37,666.41,26044.338571428572,49241.18,13581.3
1994,12,79,2243,8182.53,27719.43,7097.9066216216215,352408.14,42315.76
1994,NA,1,2,0,0,918.66,625.1,79.16
1995,1,74,557,2793.45,13789.28,4440.222222222223,377185.02,54681.09
1995,2,125,4312,31459.49,67819.49,10173.59696,1136731.11,117174.77
1995,3,382,10364,30921.4,50117.06,3706.5880106100794,1252044.94,157746.84
1995,4,41,1230,4266.87,40302.45,14047.34225,521079.23,74526.08
1995,5,126,5371,17932.46,25682.65,4603.771428571428,594257.27,83664.05
1995,6,403,15656,49583.45,56898.55,2117.1558269720103,791361.62,117523.86
1995,7,27,1128,7958.12,57202.86,22390.48846153846,351870.43,110719.6
1995,8,14,56,0,17153.5,34227.62714285714,160628.99,45183.909999999996
1995,9,31,1496,456.08,5110.5,7580.398064516129,421849.61,11248.87
1995,10,285,4373,30774.86,18504.07,1413.0378853046595,304203.8,64044.4
1995,11,23,68,54.5,1464.52,19233.625909090908,63208.59,12503.33
1995,12,75,2047,11688.53,27620.28,6830.092876712329,325774.79,51324.13
1995,NA,1,8,0,0,774.47,516.6,88.75
1996,1,84,599,3365.36,15823.21,4132.022716049383,385705.63,56658.51
1996,2,132,4507,30975.99,80085.56,9411.62572519084,1075082.06,114773.78
1996,3,414,10908,32153.64,57380.34,3452.472506142506,1285385.07,158516.59
1996,4,44,1130,4593.66,48410.19,14310.0775,632979.56,92729.87
1996,5,122,5506,17816.8,28146.56,4747.750327868853,591828.41,80831.67
1996,6,463,19282,56214.84,69292.86,1991.8208928571428,867316.4,124375.93000000001
1996,7,31,1036,5974.07,73734.92,22418.069032258063,419966.63,128027.18
1996,8,16,39,0,16855.93,19274.076875,104632.48,30493.579999999998
1996,9,30,1502,346.58,4810.99,6629.82,312252.27,7874.58
1996,10,336,5088,36120.84,21713.7,1333.5533333333333,346513.41,75236.13
1996,11,22,92,81.94,1826.1299999999999,18674.300454545453,48793.32,15925.289999999999
1996,12,81,2403,12076.06,32265.55,8778.39825,439969.29,65667.53
1996,NA,1,10,0,0,646.55,463.31,79.44
1997,1,86,601,2893.23,15542.49,4227.595421686747,388518.99,62594.02
1997,2,130,4855,30398.57,91466.41,9730.598984375,1067192.15,128885.58
1997,3,414,10814,32155.63,54533.77,3426.114581280788,1267004.9,157049.42
1997,4,44,1021,4591.91,54997.59,13518.927727272727,610771.92,92597.51
1997,5,122,5804,19102.39,30773.84,4798.2204958677685,584787.02,82430.47
1997,6,481,20472,64711.23,66049.97,2004.856931330472,895568.1,138256.49
1997,7,36,502,4916.01,92384.22,23812.78911764706,474973.62,159374.07
1997,8,18,50,0,12275.47,24623.772777777776,154272.99,40248.3
1997,9,26,1405,339.05,6499.55,9187.4052,358882.21,12651.09
1997,10,385,6277,43065.3,21418.18,1210.7914666666666,353551.22000000003,79880.03
1997,11,28,107,109.41,191.57000000000002,14471.030714285715,37813.15,13612.26
1997,12,79,2269,12335.31,34121.63,9126.259866666667,449202.59,59312.909999999996
1997,NA,1,13,0,0,562.79,383.5,64.09
1998,1,92,777,4327.16,15531.14,4503.149775280899,427952.82,68069.32
1998,2,150,6377,41129.7,117633.03,9747.318800000001,1301529.68,165119.04
1998,3,431,14265,36123.69,62000.74,3602.659765258216,1377720.1,159933.01
1998,4,42,1137,4637.25,62301.86,14908.199523809524,525684.03,72282.76
1998,5,133,6770,21971.02,28552.68,5009.936363636363,597954.33,81229.67
1998,6,585,30030,78956.42,67680.16,1854.9637285223369,1013607.96,151244.27
1998,7,34,820,5771.02,98888.15,29303.113529411763,510523.47,178294.87
1998,8,18,60,1.25,19896.51,28340.043333333335,171798.96,45888.54
1998,9,35,1706,420.14000000000004,5557.43,5927.58,326852.33,10536.38
1998,10,439,8184,47237.46,23933.14,1213.9960563380282,391081.85,89656.42
1998,11,35,133,191.87,3827.68,49807.88942857143,194453.35,65328.83
1998,12,107,3165,14488.25,25346.87,7773.5142857142855,411447.14,68597.69
1998,NA,1,12,0,0,637.83,382.2,53.81
1999,1,82,885,4767.18,15357.06,4726.556097560976,413695.61,63883.74
1999,2,138,7205,51221.45,132192.71,11968.570735294117,1382381.14,174529.42
1999,3,435,14798,44736.34,79357.86,4086.660649651972,1517283.27,181869.55
1999,4,49,1207,3929.33,57741.14,16917.537083333333,673229.95,99208.68
1999,5,140,6937,23341.48,38866.73,5061.535179856115,597717.31,81818.94
1999,6,608,32069,83957.1,74339.49,2152.8441157024795,1135972.91,189103.62
1999,7,42,926,6889.07,133939.92,38370.01571428571,658393.41,222230.25
1999,8,19,53,1031.42,37773.03,29484.355263157897,194157.91,65501.47
1999,9,39,1648,613.96,12964.13,7623.458684210526,417751.46,19270.45
1999,10,454,8184,49629.25,27123.71,1317.574071588367,429633.66,96901.92
1999,11,47,180,265.99,4351.26,60749.34553191489,267904.73,130861.73
1999,12,100,3638,15127.07,32648.67,9150.601734693877,440848.47000000003,73629.98
1999,NA,1,14,14.34,13.03,720.89,447.78,73
2000,1,87,889,4619.87,15564.19,4726.27540229885,427963.88,68463.49
2000,2,148,7463,50192.84,131009.58,11448.082739726027,1376802.84,168730.64
2000,3,460,15638,43383.32,79255.46,3944.9494323144104,1532766.55,200573.27
2000,4,52,1334,4229.47,62307.9,18157.7075,1057616.52,187534.13
2000,5,136,6724,21011.81,33376.79,5409.951544117647,636244.78,91252.81
2000,6,648,35071,100673.02,103543.82,2452.2899375,1293113.59,224436.49
2000,7,48,932,6453,168395.05,46347.067659574466,757954.41,255540.3
2000,8,29,71,236.04,36590.35,21726.619310344828,274721.63,50485.46
2000,9,40,1608,896.5699999999999,16715.97,7795.3505,461163.12,25110.81
2000,10,450,7985,57340.28,30600.99,1457.7792290249433,467866.99,112930.81
2000,11,56,233,315.42,5961.0199999999995,82657.73381818182,454553.83,168720.27
2000,12,126,3826,14237.96,49343.12,8566.285317460317,579489.02,102450.77
2000,NA,1,14,12.76,15.11,615.25,394.8,64.84
2001,1,80,891,5137.49,16808.88,6834.699358974359,509183.5,82459
2001,2,141,8265,49744.96,124538.56999999999,12395.753571428571,1361699.56,144228.47
2001,3,441,16196,47914.76,79385.33,4117.619473684211,1514562.23,167775.8
2001,4,45,1193,3879.64,59250.83,19375.083333333332,900802.2,159017.68
2001,5,135,6855,21298.69,32110.92,5257.556268656716,603964.3,80506.91
2001,6,686,39103,105427.82,91523.4,2276.1038733431515,1232759.69,131242.11
2001,7,46,947,6958.89,145793.09,47111.02088888889,753562.37,248463.23
2001,8,26,71,232.14000000000001,32228.97,24857.443846153845,308329.4,68163.17
2001,9,50,1847,1045.75,21202.51,7803.8782,692785.92,37364.93
2001,10,473,8408,65777.53,30458.32,1517.1430283224402,482938.81,118936.83
2001,11,58,270,439.46,4670.14,59192.1547368421,339006.76,114217.94
2001,12,128,4224,13975.14,43160.86,9098.963015873016,603904.01,79368.28
2001,NA,1,7,12.92,13.11,550.11,357,53.09
2002,1,83,848,5214.95,18017.98,6909.4363414634145,538871.79,90330.42
2002,2,139,8479,57025.87,131282.28,14565.81338235294,1573661.68,178457.37
2002,3,447,17274,49717.32,72689.63,4217.704451901566,1599978.39,178599.12
2002,4,48,1224,4471.75,88881.83,20968.059166666666,938010.08,157018.93
2002,5,134,6992,21993.37,33488.1,5775.686119402985,657984.25,91521.47
2002,6,676,40073,98837.88,68412.89,2359.0676311844077,1193362.78,155593.85
2002,7,53,1163,8171.64,121355.91,39041.43490196078,862549.81,269236.19
2002,8,22,59,232.01000000000002,29355.76,24273.57590909091,207197.63,53482.799999999996
2002,9,40,1974,918.0500000000001,26164.35,10961.9065,765533.25,47535.01
2002,10,462,8829,72957.26,33824.72,1669.7861318681319,534669.77,131265.55
2002,11,48,277,516.96,10335.55,109315.43382978723,385826.17,177939.88
2002,12,119,4715,12787.22,39505.69,9205.476440677967,533738.66,82718.06
2002,NA,1,6,16.11,13.95,578.01,387.03,48.65
2003,1,76,852,5513.8,18110.37,7934.867368421053,538872.74,91895.19
2003,2,142,8428,66962.15,144919.28,16397.8111971831,1792691.79,201228.44
2003,3,428,18137,56134.41,76844.71,4952.310398126464,1788613.56,195371.53
2003,4,46,1328,3907.08,87694.25,22300.99043478261,1068861.05,183031.13
2003,5,141,6422,23900.14,35465.99,6135.204142857143,746476.78,101865.98
2003,6,704,42626,103556.47,69819.91,2472.8167385057473,1389026.06,203078.02
2003,7,53,1058,8710.45,107710.26,37475.91923076923,901563.3099999999,291950.72
2003,8,20,62,223.7,21181.68,23888.368000000002,180458.09,46410.409999999996
2003,9,43,1897,1031.13,23159.24,9953.85558139535,759087.06,47001.07
2003,10,472,9025,82993.23,35830.41,1968.3872077922078,564641.08,147983.47
2003,11,61,327,551.25,9977.14,140867.17183333333,573438.07,228902.04
